,height_cm
0,180.0
1,173.0
2,173.0
3,168.0
4,196.0
5,175.0
6,183.0
7,188.0
8,178.0
9,183.0
10,178.0
11,175.0
12,183.0
13,190.0
14,173.0
15,175.0
16,170.0
17,178.0
18,178.0
19,178.0
20,180.0
21,168.0
22,168.0
23,201.0
24,178.0
25,163.0
26,185.0
27,180.0
28,175.0
29,185.0
30,190.0
31,180.0
32,165.0
33,188.0
34,180.0
35,180.0
36,173.0
37,188.0
38,173.0
39,175.0
40,178.0
41,170.0
42,185.0
43,173.0
44,178.0
45,168.0
46,175.0
47,175.0
48,190.0
49,168.0
50,180.0
51,185.0
52,165.0
53,178.0
54,170.0
55,183.0
56,180.0
57,178.0
58,173.0
59,190.0
60,163.0
61,175.0
62,185.0
63,173.0
64,175.0
65,170.0
66,168.0
67,188.0
68,178.0
69,163.0
70,175.0
71,173.0
72,163.0
73,175.0
74,185.0
75,175.0
76,168.0
77,175.0
78,185.0
79,183.0
80,180.0
81,178.0
82,183.0
83,180.0
84,173.0
85,157.0
86,173.0
87,183.0
88,178.0
89,170.0
90,173.0
91,173.0
92,183.0
93,185.0
94,190.0
95,183.0
96,168.0
97,170.0
98,188.0
99,180.0
100,183.0
101,175.0
102,180.0
103,183.0
104,185.0
105,190.0
106,175.0
107,175.0
108,185.0
109,170.0
110,185.0
111,183.0
112,170.0
113,185.0
114,180.0
115,185.0
116,170.0
117,178.0
118,188.0
119,168.0
120,165.0
121,175.0
122,173.0
123,190.0
124,190.0
125,178.0
126,180.0
127,185.0
128,183.0
129,175.0
130,168.0
131,183.0
132,175.0
133,175.0
134,183.0
135,170.0
136,188.0
137,183.0
138,180.0
139,175.0
140,180.0
141,178.0
142,190.0
143,168.0
144,180.0
145,190.0
146,173.0
147,180.0
148,188.0
149,193.0
150,183.0
151,183.0
152,183.0
153,175.0
154,193.0
155,183.0
156,178.0
157,178.0
158,168.0
159,180.0
160,188.0
161,175.0
162,185.0
163,180.0
164,173.0
165,173.0
166,183.0
167,165.0
168,183.0
169,173.0
170,196.0
171,175.0
172,180.0
173,173.0
174,175.0
175,185.0
176,170.0
177,183.0
178,180.0
179,175.0
180,173.0
181,168.0
182,175.0
183,190.0
184,173.0
185,178.0
186,196.0
187,188.0
188,190.0
189,173.0
190,165.0
191,188.0
192,180.0
193,178.0
194,173.0
195,180.0
196,173.0
197,185.0
198,173.0
199,180.0
200,196.0
201,175.0
202,178.0
203,175.0
204,173.0
205,173.0
206,183.0
207,193.0
208,178.0
209,173.0
210,175.0
211,175.0
212,173.0
