,chest_circumference,waist_circumference,weight_hg,height_cm
0,1074,933,815,180
1,1021,870,726,172
2,1120,964,929,172
3,1114,857,794,167
4,1048,868,946,195
5,1066,950,802,175
6,1208,1073,1162,182
7,1087,1010,954,187
8,1181,1065,995,177
9,964,824,702,182
10,1117,994,882,177
11,961,866,701,175
12,1151,986,1037,182
13,1231,1045,1116,190
14,1060,1007,896,172
15,1092,1033,924,175
16,1085,908,779,170
17,1118,1028,969,177
18,999,874,760,177
19,1127,999,908,177
20,1000,837,714,180
21,977,880,746,167
22,1079,978,792,167
23,1011,827,915,200
24,1098,1030,965,177
25,957,885,675,162
26,1158,1130,1073,185
27,964,912,793,180
28,971,864,782,175
29,1057,965,882,185
30,957,777,715,190
31,1108,1063,947,180
32,947,870,665,165
33,1043,966,879,187
34,965,806,675,180
35,1174,1096,884,180
36,951,895,695,172
37,1182,1214,1218,187
38,981,790,719,172
39,1086,1002,881,175
40,865,748,575,177
41,1205,1043,876,170
42,1013,864,850,185
43,1152,969,865,172
44,1096,1095,958,177
45,957,770,667,167
46,985,840,706,175
47,1063,1028,847,175
48,1137,1021,1013,190
49,1106,1061,856,167
50,1166,1139,1095,180
51,1081,922,834,185
52,1006,995,727,165
53,1153,1047,986,177
54,1037,885,773,170
55,1469,1379,1400,182
56,901,750,674,180
57,1071,970,884,177
58,1263,1068,988,172
59,1146,1012,952,190
60,858,754,566,162
61,1044,926,717,175
62,904,827,717,185
63,1033,940,802,172
64,1160,1133,988,175
65,971,843,662,170
66,1050,1021,807,167
67,1213,1061,1053,187
68,944,786,683,177
69,989,855,749,162
70,975,830,738,175
71,939,743,604,172
72,1091,967,774,162
73,983,922,768,175
74,1129,1120,1022,185
75,1205,1060,963,175
76,1123,1030,923,167
77,1129,974,988,175
78,1048,844,887,185
79,1063,969,987,182
80,1098,1010,852,180
81,972,892,748,177
82,1127,1032,920,182
83,963,851,744,180
84,1098,979,823,172
85,953,857,627,157
86,1024,979,778,172
87,1043,984,882,182
88,902,721,590,177
89,1008,885,730,170
90,1027,961,864,172
91,1044,996,866,172
92,917,838,737,182
93,917,752,654,185
94,924,775,696,190
95,994,809,775,182
96,1001,862,727,167
97,1069,1027,797,170
98,995,797,744,187
99,1104,1082,968,180
100,1045,942,866,182
101,1015,871,742,175
102,1109,912,920,180
103,991,873,814,182
104,844,785,646,185
105,1176,1023,954,190
106,1085,924,853,175
107,1085,1001,900,175
108,1021,901,835,185
109,1096,958,851,170
110,1063,972,897,185
111,1030,939,872,182
112,1106,1003,822,170
113,1163,1139,1112,185
114,1089,1162,987,180
115,1149,1111,1105,185
116,1041,900,782,170
117,1056,998,869,177
118,1358,1330,1413,187
119,1025,897,789,167
120,1000,911,690,165
121,1026,861,792,175
122,989,920,699,172
123,1251,1192,1212,190
124,1030,1012,878,190
125,970,845,706,177
126,1035,843,822,180
127,1076,910,992,185
128,1038,879,760,182
129,1113,1031,988,175
130,1011,929,759,167
131,1024,994,898,182
132,997,815,782,175
133,1057,983,831,175
134,1082,1004,996,182
135,1002,825,742,170
136,1132,1077,968,187
137,1123,952,916,182
138,1175,1047,1080,180
139,1021,851,788,175
140,1115,920,949,180
141,1112,934,906,177
142,1165,1114,1069,190
143,1056,967,874,167
144,1048,1007,879,180
145,1137,1109,1154,190
146,1041,827,790,172
147,1027,947,887,180
148,1021,881,866,187
149,1001,833,806,193
150,1126,963,966,182
151,1225,1100,1099,182
152,1070,852,771,182
153,1102,941,951,175
154,1194,1026,1118,193
155,1097,978,895,182
156,1208,1150,1060,177
157,1116,935,951,177
158,995,923,721,167
159,1092,973,872,180
160,1079,908,978,187
161,1179,1111,974,175
162,1084,1031,958,185
163,1150,1164,1123,180
164,1098,1006,900,172
165,1142,1018,948,172
166,1071,992,950,182
167,1021,908,739,165
168,1241,1053,1036,182
169,1027,912,777,172
170,1167,1049,1080,195
171,1082,917,840,175
172,1139,1066,964,180
173,947,848,707,172
174,948,759,705,175
175,1058,959,851,185
176,1102,970,865,170
177,1179,1068,972,182
178,1028,972,822,180
179,1048,993,842,175
180,969,898,723,172
181,1125,964,896,167
182,1049,881,755,175
183,957,821,732,190
184,913,801,701,172
185,995,845,783,177
186,1237,1134,1164,195
187,1018,877,799,187
188,1059,951,908,190
189,907,867,677,172
190,1063,1029,858,165
191,1017,879,852,187
192,1130,1015,1033,180
193,1156,1034,1034,177
194,978,844,725,172
195,963,797,711,180
196,965,892,678,172
197,956,865,782,185
198,1080,1031,909,172
199,1078,912,840,180
200,1158,1086,1086,195
201,1013,914,758,175
202,1037,923,833,177
203,1039,918,870,175
204,985,831,728,172
205,1285,1182,1109,172
206,1082,1054,945,182
207,1157,1118,1141,193
208,1049,963,907,177
209,1063,877,846,172
210,1061,912,818,175
211,1120,973,869,175
212,913,818,682,172
213,941,783,680,172
214,1151,1015,947,177
215,810,694,474,157
216,1163,1121,1158,190
217,972,870,729,177
218,1091,1015,1078,182
219,846,738,540,167
220,1092,1032,854,162
221,1071,979,871,175
222,1172,1017,1071,185
223,1035,883,791,175
224,1203,1068,1096,182
225,1212,1179,1150,175
226,1047,993,866,170
227,977,880,756,177
228,1014,977,834,180
229,1041,925,812,177
230,1082,1010,845,165
231,1166,1004,941,175
232,967,744,644,167
233,1171,1045,1124,182
234,1078,936,907,175
235,963,755,718,162
236,1101,997,971,220
237,1053,913,813,182
238,1027,921,755,175
239,972,899,797,187
240,915,734,648,180
241,1142,1124,1079,180
242,1081,976,874,167
243,1108,1084,982,177
244,1069,1026,893,182
245,1140,1078,1087,187
246,1018,972,775,165
247,1096,903,801,167
248,1127,928,874,175
249,907,779,568,162
250,1241,1149,1174,185
251,1092,992,863,177
252,1178,989,970,180
253,1031,933,779,175
254,872,744,556,170
255,884,714,533,170
256,1121,1147,933,167
257,1063,976,866,172
258,1242,1077,1096,177
259,949,835,676,172
260,953,797,718,175
261,1106,969,916,182
262,1094,918,871,182
263,954,776,701,167
264,1242,1124,1115,177
265,1166,1146,1084,180
266,904,797,637,167
267,1071,1032,964,185
268,1182,1005,1054,190
269,1052,921,887,182
270,1162,1132,1145,190
271,1069,988,890,175
272,957,797,688,177
273,1020,897,710,165
274,1198,1145,1021,177
275,1079,1003,784,160
276,1172,1175,1105,177
277,1008,987,819,175
278,1168,1043,871,172
279,1027,842,869,195
280,1068,915,775,177
281,1139,1076,1098,185
282,1076,968,965,182
283,1045,822,674,167
284,1231,1108,1026,172
285,913,719,601,177
286,960,869,676,167
287,1043,931,867,167
288,1089,939,826,165
289,1019,884,862,190
290,1097,912,821,167
291,963,812,675,180
292,1074,957,860,175
293,1069,1008,954,187
294,1168,1121,970,175
295,1087,946,895,180
296,1173,1029,1016,175
297,1002,913,758,170
298,1022,828,715,172
299,1076,972,884,180
300,820,694,459,162
301,1030,872,756,167
302,1131,1010,995,182
303,1183,1141,1138,182
304,999,908,840,180
305,1115,1091,1114,180
306,1072,948,902,198
307,1063,944,924,180
308,1099,1012,860,180
309,1043,893,842,175
310,1113,992,939,187
311,1121,939,921,180
312,1015,912,724,165
313,1011,942,886,172
314,1058,848,753,170
