,chest_circumference,chest_height_mm,waist_breadth,weight_hg,height_cm
0,1074,1292,329,815,180.0
1,1021,1244,316,726,173.0
2,1120,1288,329,929,173.0
3,1114,1205,315,794,168.0
4,1048,1452,303,946,196.0
5,1066,1253,337,802,175.0
6,1208,1372,355,1162,183.0
7,1087,1359,352,954,188.0
8,1181,1312,350,995,178.0
9,964,1340,299,702,183.0
10,1117,1311,334,882,178.0
11,961,1272,302,701,175.0
12,1151,1367,339,1037,183.0
13,1231,1374,372,1116,190.0
14,1060,1254,359,896,173.0
15,1092,1306,328,924,175.0
16,1085,1265,322,779,170.0
17,1118,1331,344,969,178.0
18,999,1293,307,760,178.0
19,1127,1322,344,908,178.0
20,1000,1276,305,714,180.0
21,977,1262,319,746,168.0
22,1079,1216,339,792,168.0
23,1011,1506,284,915,201.0
24,1098,1291,344,965,178.0
25,957,1174,295,675,163.0
26,1158,1343,382,1073,185.0
27,964,1316,323,793,180.0
28,971,1290,302,782,175.0
29,1057,1325,329,882,185.0
30,957,1376,292,715,190.0
31,1108,1292,366,947,180.0
32,947,1239,294,665,165.0
33,1043,1350,334,879,188.0
34,965,1307,290,675,180.0
35,1174,1314,381,884,180.0
36,951,1227,318,695,173.0
37,1182,1372,420,1218,188.0
38,981,1263,271,719,173.0
39,1086,1261,349,881,175.0
40,865,1311,268,575,178.0
41,1205,1246,346,876,170.0
42,1013,1374,311,850,185.0
43,1152,1249,347,865,173.0
44,1096,1279,362,958,178.0
45,957,1190,274,667,168.0
46,985,1249,296,706,175.0
47,1063,1239,345,847,175.0
48,1137,1392,346,1013,190.0
49,1106,1220,366,856,168.0
50,1166,1306,395,1095,180.0
51,1081,1370,324,834,185.0
52,1006,1229,329,727,165.0
53,1153,1289,358,986,178.0
54,1037,1223,316,773,170.0
55,1469,1349,438,1400,183.0
56,901,1343,265,674,180.0
57,1071,1268,332,884,178.0
58,1263,1285,364,988,173.0
59,1146,1365,350,952,190.0
60,858,1208,262,566,163.0
61,1044,1248,320,717,175.0
62,904,1357,303,717,185.0
63,1033,1217,334,802,173.0
64,1160,1268,367,988,175.0
65,971,1251,299,662,170.0
66,1050,1192,342,807,168.0
67,1213,1360,361,1053,188.0
68,944,1300,281,683,178.0
69,989,1179,293,749,163.0
70,975,1304,306,738,175.0
71,939,1279,252,604,173.0
72,1091,1191,326,774,163.0
73,983,1253,324,768,175.0
74,1129,1361,399,1022,185.0
75,1205,1264,361,963,175.0
76,1123,1227,355,923,168.0
77,1129,1288,332,988,175.0
78,1048,1348,298,887,185.0
79,1063,1326,330,987,183.0
80,1098,1296,345,852,180.0
81,972,1285,305,748,178.0
82,1127,1347,362,920,183.0
83,963,1302,310,744,180.0
84,1098,1276,327,823,173.0
85,953,1116,304,627,157.0
86,1024,1270,341,778,173.0
87,1043,1305,345,882,183.0
88,902,1290,259,590,178.0
89,1008,1235,308,730,170.0
90,1027,1288,337,864,173.0
91,1044,1314,347,866,173.0
92,917,1307,293,737,183.0
93,917,1336,274,654,185.0
94,924,1364,275,696,190.0
95,994,1345,291,775,183.0
96,1001,1223,302,727,168.0
97,1069,1251,346,797,170.0
98,995,1298,277,744,188.0
99,1104,1294,362,968,180.0
100,1045,1332,329,866,183.0
101,1015,1288,321,742,175.0
102,1109,1310,308,920,180.0
103,991,1297,305,814,183.0
104,844,1377,278,646,185.0
105,1176,1407,356,954,190.0
106,1085,1276,317,853,175.0
107,1085,1272,325,900,175.0
108,1021,1341,313,835,185.0
109,1096,1257,347,851,170.0
110,1063,1340,350,897,185.0
111,1030,1329,332,872,183.0
112,1106,1223,335,822,170.0
113,1163,1353,389,1112,185.0
114,1089,1311,386,987,180.0
115,1149,1352,379,1105,185.0
116,1041,1229,319,782,170.0
117,1056,1279,327,869,178.0
118,1358,1411,406,1413,188.0
119,1025,1196,305,789,168.0
120,1000,1186,323,690,165.0
121,1026,1280,312,792,175.0
122,989,1252,331,699,173.0
123,1251,1432,387,1212,190.0
124,1030,1385,359,878,190.0
125,970,1322,296,706,178.0
126,1035,1327,296,822,180.0
127,1076,1371,317,992,185.0
128,1038,1332,309,760,183.0
129,1113,1292,349,988,175.0
130,1011,1227,339,759,168.0
131,1024,1297,347,898,183.0
132,997,1297,281,782,175.0
133,1057,1291,332,831,175.0
134,1082,1355,359,996,183.0
135,1002,1250,300,742,170.0
136,1132,1371,380,968,188.0
137,1123,1345,347,916,183.0
138,1175,1311,353,1080,180.0
139,1021,1273,300,788,175.0
140,1115,1333,335,949,180.0
141,1112,1294,332,906,178.0
142,1165,1334,401,1069,190.0
143,1056,1210,335,874,168.0
144,1048,1293,349,879,180.0
145,1137,1363,384,1154,190.0
146,1041,1224,295,790,173.0
147,1027,1277,344,887,180.0
148,1021,1356,300,866,188.0
149,1001,1430,312,806,193.0
150,1126,1298,348,966,183.0
151,1225,1365,371,1099,183.0
152,1070,1293,305,771,183.0
153,1102,1279,345,951,175.0
154,1194,1400,359,1118,193.0
155,1097,1349,346,895,183.0
156,1208,1302,385,1060,178.0
157,1116,1337,331,951,178.0
158,995,1234,320,721,168.0
159,1092,1357,347,872,180.0
160,1079,1389,313,978,188.0
161,1179,1275,377,974,175.0
162,1084,1350,346,958,185.0
163,1150,1333,414,1123,180.0
164,1098,1244,351,900,173.0
165,1142,1278,344,948,173.0
166,1071,1346,355,950,183.0
167,1021,1255,320,739,165.0
168,1241,1336,381,1036,183.0
169,1027,1261,321,777,173.0
170,1167,1458,375,1080,196.0
171,1082,1267,331,840,175.0
172,1139,1278,363,964,180.0
173,947,1268,306,707,173.0
174,948,1251,263,705,175.0
175,1058,1363,323,851,185.0
176,1102,1260,331,865,170.0
177,1179,1357,360,972,183.0
178,1028,1302,346,822,180.0
179,1048,1288,346,842,175.0
180,969,1267,315,723,173.0
181,1125,1210,345,896,168.0
182,1049,1269,310,755,175.0
183,957,1379,306,732,190.0
184,913,1267,297,701,173.0
185,995,1287,301,783,178.0
186,1237,1412,415,1164,196.0
187,1018,1379,296,799,188.0
188,1059,1372,331,908,190.0
189,907,1267,305,677,173.0
190,1063,1183,345,858,165.0
191,1017,1352,317,852,188.0
192,1130,1354,354,1033,180.0
193,1156,1288,361,1034,178.0
194,978,1266,294,725,173.0
195,963,1307,296,711,180.0
196,965,1267,313,678,173.0
197,956,1366,299,782,185.0
198,1080,1271,347,909,173.0
199,1078,1310,319,840,180.0
200,1158,1421,402,1086,196.0
201,1013,1268,323,758,175.0
202,1037,1309,331,833,178.0
203,1039,1287,335,870,175.0
204,985,1235,305,728,173.0
205,1285,1274,411,1109,173.0
206,1082,1336,358,945,183.0
207,1157,1402,382,1141,193.0
208,1049,1314,346,907,178.0
209,1063,1266,320,846,173.0
210,1061,1270,315,818,175.0
211,1120,1275,341,869,175.0
212,913,1265,297,682,173.0
213,941,1267,275,680,173.0
214,1151,1270,351,947,178.0
215,810,1133,253,474,157.0
216,1163,1364,379,1158,190.0
217,972,1271,297,729,178.0
218,1091,1391,355,1078,183.0
219,846,1196,268,540,168.0
220,1092,1226,345,854,163.0
221,1071,1264,364,871,175.0
222,1172,1347,350,1071,185.0
223,1035,1302,319,791,175.0
224,1203,1323,386,1096,183.0
225,1212,1262,411,1150,175.0
226,1047,1247,352,866,170.0
227,977,1266,323,756,178.0
228,1014,1326,342,834,180.0
229,1041,1292,334,812,178.0
230,1082,1222,347,845,165.0
231,1166,1276,362,941,175.0
232,967,1226,274,644,168.0
233,1171,1342,360,1124,183.0
234,1078,1303,315,907,175.0
235,963,1180,274,718,163.0
236,1101,1395,346,971,221.0
237,1053,1349,318,813,183.0
238,1027,1278,327,755,175.0
239,972,1364,323,797,188.0
240,915,1324,259,648,180.0
241,1142,1299,389,1079,180.0
242,1081,1218,321,874,168.0
243,1108,1299,366,982,178.0
244,1069,1357,343,893,183.0
245,1140,1357,378,1087,188.0
246,1018,1198,328,775,165.0
247,1096,1199,308,801,168.0
248,1127,1269,328,874,175.0
249,907,1173,288,568,163.0
250,1241,1361,389,1174,185.0
251,1092,1292,349,863,178.0
252,1178,1305,346,970,180.0
253,1031,1285,334,779,175.0
254,872,1206,270,556,170.0
255,884,1216,260,533,170.0
256,1121,1223,395,933,168.0
257,1063,1293,328,866,173.0
258,1242,1295,342,1096,178.0
259,949,1240,294,676,173.0
260,953,1307,282,718,175.0
261,1106,1334,341,916,183.0
262,1094,1325,335,871,183.0
263,954,1217,273,701,168.0
264,1242,1329,374,1115,178.0
265,1166,1349,398,1084,180.0
266,904,1182,285,637,168.0
267,1071,1368,354,964,185.0
268,1182,1401,357,1054,190.0
269,1052,1308,331,887,183.0
270,1162,1437,399,1145,190.0
271,1069,1285,345,890,175.0
272,957,1277,288,688,178.0
273,1020,1217,299,710,165.0
274,1198,1304,377,1021,178.0
275,1079,1243,345,784,160.0
276,1172,1325,412,1105,178.0
277,1008,1260,350,819,175.0
278,1168,1268,358,871,173.0
279,1027,1454,301,869,196.0
280,1068,1326,318,775,178.0
281,1139,1346,375,1098,185.0
282,1076,1339,347,965,183.0
283,1045,1195,292,674,168.0
284,1231,1257,377,1026,173.0
285,913,1272,264,601,178.0
286,960,1213,300,676,168.0
287,1043,1229,326,867,168.0
288,1089,1198,337,826,165.0
289,1019,1396,303,862,190.0
290,1097,1195,325,821,168.0
291,963,1323,290,675,180.0
292,1074,1287,339,860,175.0
293,1069,1388,355,954,188.0
294,1168,1260,375,970,175.0
295,1087,1333,332,895,180.0
296,1173,1232,353,1016,175.0
297,1002,1221,317,758,170.0
298,1022,1283,301,715,173.0
299,1076,1296,353,884,180.0
300,820,1183,264,459,163.0
301,1030,1218,306,756,168.0
302,1131,1354,373,995,183.0
303,1183,1342,419,1138,183.0
304,999,1305,321,840,180.0
305,1115,1338,367,1114,180.0
306,1072,1477,342,902,198.0
307,1063,1317,332,924,180.0
308,1099,1309,366,860,180.0
309,1043,1259,321,842,175.0
310,1113,1373,348,939,188.0
311,1121,1272,338,921,180.0
312,1015,1192,324,724,165.0
313,1011,1257,335,886,173.0
314,1058,1207,312,753,170.0
315,1034,1315,304,857,180.0
316,1138,1292,348,980,175.0
317,937,1323,327,744,183.0
318,953,1319,305,680,180.0
319,976,1272,293,677,175.0
320,1008,1278,327,735,175.0
321,893,1287,266,649,180.0
322,1024,1243,337,766,168.0
323,1029,1383,314,860,188.0
324,1066,1360,323,809,183.0
325,1011,1257,336,801,173.0
326,988,1269,321,773,175.0
327,1068,1260,323,880,170.0
328,1065,1367,322,905,185.0
329,962,1470,329,866,198.0
330,1094,1273,344,845,175.0
331,1228,1448,383,1203,193.0
332,979,1253,314,769,168.0
333,1094,1311,394,995,178.0
334,1201,1384,381,1054,188.0
335,1054,1285,360,872,178.0
336,1080,1229,332,750,168.0
337,1123,1193,367,865,168.0
338,1106,1346,367,962,183.0
339,937,1381,294,727,190.0
340,962,1329,309,785,185.0
341,992,1266,323,752,173.0
342,998,1323,281,744,178.0
343,1056,1294,326,818,170.0
344,1131,1330,343,873,178.0
345,969,1220,264,697,168.0
346,1000,1313,300,824,178.0
347,1145,1442,330,999,196.0
348,1118,1309,326,867,180.0
349,1020,1198,331,725,163.0
350,953,1360,315,728,185.0
351,946,1321,281,715,183.0
352,1324,1326,428,1274,183.0
353,1088,1360,342,961,185.0
354,1200,1236,393,1018,168.0
355,1124,1268,336,869,175.0
356,1067,1260,331,840,173.0
357,1053,1283,341,834,175.0
358,999,1282,315,733,180.0
359,987,1232,341,735,173.0
360,998,1273,312,766,178.0
361,1027,1245,294,858,170.0
362,915,1155,275,560,160.0
363,1043,1253,316,754,173.0
364,1105,1357,353,941,185.0
365,1209,1221,355,920,165.0
366,1098,1268,345,905,173.0
367,1156,1223,384,1021,168.0
368,933,1220,279,650,168.0
369,1109,1399,353,977,188.0
370,1202,1417,375,1130,190.0
371,1121,1221,340,894,168.0
372,990,1350,293,763,183.0
373,1256,1413,395,1241,190.0
374,1042,1319,322,876,180.0
375,925,1361,264,689,188.0
376,929,1279,288,736,175.0
377,1026,1250,293,759,170.0
378,996,1304,275,702,175.0
379,1146,1339,375,1018,185.0
380,1071,1276,346,887,178.0
381,1219,1354,404,1266,188.0
382,1099,1285,327,842,175.0
383,998,1240,288,699,173.0
384,957,1300,293,713,180.0
385,1202,1302,385,1099,180.0
386,1164,1354,353,1042,190.0
387,922,1190,275,633,168.0
388,1096,1254,344,921,168.0
389,1137,1276,354,955,178.0
390,994,1208,287,709,170.0
391,1016,1215,300,773,168.0
392,1005,1226,322,781,170.0
393,1150,1269,391,1017,175.0
394,1124,1314,357,1028,178.0
395,1093,1377,314,910,183.0
396,1018,1286,299,787,170.0
397,1020,1211,327,781,168.0
398,1138,1336,367,931,183.0
399,1012,1335,322,793,198.0
400,1023,1304,325,812,183.0
401,911,1297,283,621,178.0
402,1037,1236,311,758,170.0
403,1006,1274,299,745,175.0
404,1092,1175,348,819,165.0
405,972,1203,302,714,168.0
406,1095,1215,325,865,165.0
407,1233,1323,370,1091,185.0
408,1033,1250,325,780,175.0
409,1078,1355,343,942,188.0
410,1071,1296,315,832,175.0
411,1029,1382,336,838,190.0
412,1145,1281,367,987,178.0
413,1132,1339,357,958,185.0
414,1035,1310,349,962,180.0
415,872,1148,261,545,160.0
416,1003,1288,319,777,183.0
417,1077,1399,314,819,193.0
