,Unnamed: 0,chest_circumference,waist_circumference,weight_hg,height_cm
0,0,1074,933,815,180.34
1,1,1021,870,726,172.72
2,2,1120,964,929,172.72
3,3,1114,857,794,167.64
4,4,1048,868,946,195.58
5,5,1066,950,802,175.26
6,6,1208,1073,1162,182.88
7,7,1087,1010,954,187.96
8,8,1181,1065,995,177.8
9,9,964,824,702,182.88
10,10,1117,994,882,177.8
11,11,961,866,701,175.26
12,12,1151,986,1037,182.88
13,13,1231,1045,1116,190.5
14,14,1060,1007,896,172.72
15,15,1092,1033,924,175.26
16,16,1085,908,779,170.18
17,17,1118,1028,969,177.8
18,18,999,874,760,177.8
19,19,1127,999,908,177.8
20,20,1000,837,714,180.34
21,21,977,880,746,167.64
22,22,1079,978,792,167.64
23,23,1011,827,915,200.66
24,24,1098,1030,965,177.8
25,25,957,885,675,162.56
26,26,1158,1130,1073,185.42
27,27,964,912,793,180.34
28,28,971,864,782,175.26
29,29,1057,965,882,185.42
30,30,957,777,715,190.5
31,31,1108,1063,947,180.34
32,32,947,870,665,165.1
33,33,1043,966,879,187.96
34,34,965,806,675,180.34
35,35,1174,1096,884,180.34
36,36,951,895,695,172.72
37,37,1182,1214,1218,187.96
38,38,981,790,719,172.72
39,39,1086,1002,881,175.26
40,40,865,748,575,177.8
41,41,1205,1043,876,170.18
42,42,1013,864,850,185.42
43,43,1152,969,865,172.72
44,44,1096,1095,958,177.8
45,45,957,770,667,167.64
46,46,985,840,706,175.26
47,47,1063,1028,847,175.26
48,48,1137,1021,1013,190.5
49,49,1106,1061,856,167.64
50,50,1166,1139,1095,180.34
51,51,1081,922,834,185.42
52,52,1006,995,727,165.1
53,53,1153,1047,986,177.8
54,54,1037,885,773,170.18
55,55,1469,1379,1400,182.88
56,56,901,750,674,180.34
57,57,1071,970,884,177.8
58,58,1263,1068,988,172.72
59,59,1146,1012,952,190.5
60,60,858,754,566,162.56
61,61,1044,926,717,175.26
62,62,904,827,717,185.42
63,63,1033,940,802,172.72
64,64,1160,1133,988,175.26
65,65,971,843,662,170.18
66,66,1050,1021,807,167.64
67,67,1213,1061,1053,187.96
68,68,944,786,683,177.8
69,69,989,855,749,162.56
70,70,975,830,738,175.26
71,71,939,743,604,172.72
72,72,1091,967,774,162.56
73,73,983,922,768,175.26
74,74,1129,1120,1022,185.42
75,75,1205,1060,963,175.26
76,76,1123,1030,923,167.64
77,77,1129,974,988,175.26
78,78,1048,844,887,185.42
79,79,1063,969,987,182.88
80,80,1098,1010,852,180.34
81,81,972,892,748,177.8
82,82,1127,1032,920,182.88
83,83,963,851,744,180.34
84,84,1098,979,823,172.72
85,85,953,857,627,157.48
86,86,1024,979,778,172.72
87,87,1043,984,882,182.88
88,88,902,721,590,177.8
89,89,1008,885,730,170.18
90,90,1027,961,864,172.72
91,91,1044,996,866,172.72
92,92,917,838,737,182.88
93,93,917,752,654,185.42
94,94,924,775,696,190.5
95,95,994,809,775,182.88
96,96,1001,862,727,167.64
97,97,1069,1027,797,170.18
98,98,995,797,744,187.96
99,99,1104,1082,968,180.34
100,100,1045,942,866,182.88
101,101,1015,871,742,175.26
102,102,1109,912,920,180.34
103,103,991,873,814,182.88
104,104,844,785,646,185.42
105,105,1176,1023,954,190.5
106,106,1085,924,853,175.26
107,107,1085,1001,900,175.26
108,108,1021,901,835,185.42
109,109,1096,958,851,170.18
110,110,1063,972,897,185.42
111,111,1030,939,872,182.88
112,112,1106,1003,822,170.18
113,113,1163,1139,1112,185.42
114,114,1089,1162,987,180.34
115,115,1149,1111,1105,185.42
116,116,1041,900,782,170.18
117,117,1056,998,869,177.8
118,118,1358,1330,1413,187.96
119,119,1025,897,789,167.64
120,120,1000,911,690,165.1
121,121,1026,861,792,175.26
122,122,989,920,699,172.72
123,123,1251,1192,1212,190.5
124,124,1030,1012,878,190.5
125,125,970,845,706,177.8
126,126,1035,843,822,180.34
127,127,1076,910,992,185.42
128,128,1038,879,760,182.88
129,129,1113,1031,988,175.26
130,130,1011,929,759,167.64
131,131,1024,994,898,182.88
132,132,997,815,782,175.26
133,133,1057,983,831,175.26
134,134,1082,1004,996,182.88
135,135,1002,825,742,170.18
136,136,1132,1077,968,187.96
137,137,1123,952,916,182.88
138,138,1175,1047,1080,180.34
139,139,1021,851,788,175.26
140,140,1115,920,949,180.34
141,141,1112,934,906,177.8
142,142,1165,1114,1069,190.5
143,143,1056,967,874,167.64
144,144,1048,1007,879,180.34
145,145,1137,1109,1154,190.5
146,146,1041,827,790,172.72
147,147,1027,947,887,180.34
148,148,1021,881,866,187.96
149,149,1001,833,806,193.04
150,150,1126,963,966,182.88
151,151,1225,1100,1099,182.88
152,152,1070,852,771,182.88
153,153,1102,941,951,175.26
154,154,1194,1026,1118,193.04
155,155,1097,978,895,182.88
156,156,1208,1150,1060,177.8
157,157,1116,935,951,177.8
158,158,995,923,721,167.64
159,159,1092,973,872,180.34
160,160,1079,908,978,187.96
161,161,1179,1111,974,175.26
162,162,1084,1031,958,185.42
163,163,1150,1164,1123,180.34
164,164,1098,1006,900,172.72
165,165,1142,1018,948,172.72
166,166,1071,992,950,182.88
167,167,1021,908,739,165.1
168,168,1241,1053,1036,182.88
169,169,1027,912,777,172.72
170,170,1167,1049,1080,195.58
171,171,1082,917,840,175.26
172,172,1139,1066,964,180.34
173,173,947,848,707,172.72
174,174,948,759,705,175.26
175,175,1058,959,851,185.42
176,176,1102,970,865,170.18
177,177,1179,1068,972,182.88
178,178,1028,972,822,180.34
179,179,1048,993,842,175.26
180,180,969,898,723,172.72
181,181,1125,964,896,167.64
182,182,1049,881,755,175.26
183,183,957,821,732,190.5
184,184,913,801,701,172.72
185,185,995,845,783,177.8
186,186,1237,1134,1164,195.58
187,187,1018,877,799,187.96
188,188,1059,951,908,190.5
189,189,907,867,677,172.72
190,190,1063,1029,858,165.1
191,191,1017,879,852,187.96
192,192,1130,1015,1033,180.34
193,193,1156,1034,1034,177.8
194,194,978,844,725,172.72
195,195,963,797,711,180.34
196,196,965,892,678,172.72
197,197,956,865,782,185.42
198,198,1080,1031,909,172.72
199,199,1078,912,840,180.34
200,200,1158,1086,1086,195.58
201,201,1013,914,758,175.26
202,202,1037,923,833,177.8
203,203,1039,918,870,175.26
204,204,985,831,728,172.72
205,205,1285,1182,1109,172.72
206,206,1082,1054,945,182.88
207,207,1157,1118,1141,193.04
208,208,1049,963,907,177.8
209,209,1063,877,846,172.72
210,210,1061,912,818,175.26
211,211,1120,973,869,175.26
212,212,913,818,682,172.72
213,213,941,783,680,172.72
214,214,1151,1015,947,177.8
215,215,810,694,474,157.48
216,216,1163,1121,1158,190.5
217,217,972,870,729,177.8
218,218,1091,1015,1078,182.88
219,219,846,738,540,167.64
220,220,1092,1032,854,162.56
221,221,1071,979,871,175.26
222,222,1172,1017,1071,185.42
223,223,1035,883,791,175.26
224,224,1203,1068,1096,182.88
225,225,1212,1179,1150,175.26
226,226,1047,993,866,170.18
227,227,977,880,756,177.8
228,228,1014,977,834,180.34
229,229,1041,925,812,177.8
230,230,1082,1010,845,165.1
231,231,1166,1004,941,175.26
232,232,967,744,644,167.64
233,233,1171,1045,1124,182.88
234,234,1078,936,907,175.26
235,235,963,755,718,162.56
236,236,1101,997,971,220.98
237,237,1053,913,813,182.88
238,238,1027,921,755,175.26
239,239,972,899,797,187.96
240,240,915,734,648,180.34
241,241,1142,1124,1079,180.34
242,242,1081,976,874,167.64
243,243,1108,1084,982,177.8
244,244,1069,1026,893,182.88
245,245,1140,1078,1087,187.96
246,246,1018,972,775,165.1
247,247,1096,903,801,167.64
248,248,1127,928,874,175.26
249,249,907,779,568,162.56
250,250,1241,1149,1174,185.42
